Time	EMG
3.954	0.178011
3.955	-0.010277
3.956	-0.198158
3.957	-0.0190972
3.958	0.339723
3.959	0.268294
3.96	-0.512452
3.961	-0.580499
3.962	0.084403
3.963	0.570111
3.964	0.539466
3.965	0.0799669
3.966	-0.417394
3.967	-0.445803
3.968	-0.11294
3.969	0.00739283
3.97	0.0533379
3.971	0.107346
3.972	0.235016
3.973	0.277031
3.974	0.0616076
3.975	-0.0851692
3.976	-0.30229
3.977	-0.443636
3.978	-0.123959
3.979	0.219092
3.98	0.388092
3.981	0.371834
3.982	0.0181031
3.983	-0.241053
3.984	-0.285632
3.985	-0.163472
3.986	-0.0915409
3.987	0.0111417
3.988	0.204542
3.989	0.43014
3.99	0.112258
3.991	-0.237116
3.992	-0.161735
3.993	-0.186521
3.994	-0.176786
3.995	-0.0909001
3.996	0.340498
3.997	0.621534
3.998	-0.0497091
3.999	-0.506138
4	-0.223955
4.001	0.016654
4.002	0.00340685
4.003	0.203045
4.004	0.223539
4.005	-0.0535876
4.006	-0.100454
4.007	-0.0262855
4.008	0.0278482
4.009	0.00548353
4.01	-0.100609
4.011	-0.164961
4.012	-0.102823
4.013	0.256585
4.014	0.305977
4.015	0.0506686
4.016	-0.208986
4.017	-0.181635
4.018	0.0215932
4.019	0.0726971
4.02	0.0773765
4.021	-0.0751998
4.022	-0.246287
4.023	-0.0111304
4.024	0.288374
4.025	0.356784
4.026	-0.0951218
4.027	-0.309259
4.028	-0.25281
4.029	-0.0770689
4.03	0.167074
4.031	0.210744
4.032	0.278015
4.033	0.0954517
4.034	-0.2588
4.035	-0.231239
4.036	-0.0149696
4.037	-0.11372
4.038	-0.27158
4.039	0.171782
4.04	0.632857
4.041	0.155555
4.042	-0.320444
4.043	-0.189776
4.044	-0.00696673
4.045	0.0289584
4.046	-0.0476044
4.047	-0.0651319
4.048	0.101247
4.049	0.0699256
4.05	-0.155627
4.051	-0.227414
4.052	0.18728
4.053	0.616623
4.054	0.142443
4.055	-0.500109
4.056	-0.510786
4.057	-0.0647022
4.058	0.217495
4.059	0.311428
4.06	0.22686
4.061	-0.052918
4.062	-0.262014
4.063	-0.0846508
4.064	0.0990585
4.065	-0.0391228
4.066	-0.123137
4.067	0.0538026
4.068	0.247497
4.069	0.156811
4.07	-0.109264
4.071	-0.31957
4.072	-0.175704
4.073	0.0807433
4.074	0.272323
4.075	0.170935
4.076	-0.00802424
4.077	-0.101548
4.078	-0.160525
4.079	-0.0821913
4.08	0.0261903
4.081	0.0544409
4.082	0.0707764
4.083	0.0309331
4.084	0.0232443
4.085	-0.0204679
4.086	-0.0134247
4.087	0.056581
4.088	-0.0348344
4.089	-0.118059
4.09	-0.0812113
4.091	0.0292063
4.092	0.0959363
4.093	0.0546635
4.094	-0.00117315
4.095	-0.032858
4.096	0.0518799
4.097	0.142908
4.098	0.0249021
4.099	-0.17466
4.1	-0.23924
4.101	-0.102928
4.102	0.0174346
4.103	0.113469
4.104	0.240084
4.105	0.185537
4.106	0.0574913
4.107	-0.0326327
4.108	-0.0916767
4.109	-0.208608
4.11	-0.388187
4.111	-0.313219
4.112	0.247325
4.113	0.70102
4.114	0.392177
4.115	-0.153919
4.116	-0.394522
4.117	-0.272659
4.118	-0.0216795
4.119	0.0523794
4.12	0.0950236
4.121	0.114291
4.122	-0.048031
4.123	-0.0719224
4.124	0.0470994
4.125	0.0742301
4.126	0.0947894
4.127	0.0284605
4.128	-0.126178
4.129	-0.183123
4.13	0.0268517
4.131	0.0399216
4.132	0.0137478
4.133	0.029901
4.134	0.00278771
4.135	0.0231633
4.136	0.114945
4.137	0.10827
4.138	-0.0869683
4.139	-0.176787
4.14	-0.067805
4.141	-0.065967
4.142	0.0207889
4.143	0.0710705
4.144	-0.00308934
4.145	0.0607888
4.146	0.216593
4.147	0.22722
4.148	-0.134838
4.149	-0.390847
4.15	-0.28801
4.151	0.068792
4.152	0.250305
4.153	0.178303
4.154	0.0438726
4.155	-0.0847579
4.156	-0.0391078
4.157	0.0479738
4.158	0.0395756
4.159	-0.0530034
4.16	-0.139611
4.161	-0.135533
4.162	0.0320251
4.163	0.208696
4.164	0.196093
4.165	-0.00199431
